Entidad_Federativa,Periodo,Trimestre,Sexo,Poblacion_ocupada_en_la_industria_manufacturera,Poblaci n_ocupada,Tasa_de_ocupaci n_en_la_industria_manufacturera
Nacional,2005,1,Hombres,4384907,26597801,16.485975660000000000000
Aguascalientes,2005,1,Hombres,56407,246177,22.913188480000000000000
Baja California,2005,1,Hombres,167651,768989,21.801482210000000000000
Baja California Sur,2005,1,Hombres,9349,148814,6.2823390270000000000000
Campeche,2005,1,Hombres,17032,206708,8.2396423940000000000000
Coahuila,2005,1,Hombres,171196,636756,26.885651650000000000000
Colima,2005,1,Hombres,15851,156623,10.120480390000000000000
Chiapas,2005,1,Hombres,59684,1136112,5.2533553030000000000000
Chihuahua,2005,1,Hombres,203833,828428,24.604793660000000000000
Ciudad de M xico,2005,1,Hombres,362248,2312482,15.664900310000000000000
Durango,2005,1,Hombres,65926,378399,17.422350480000000000000
Guanajuato,2005,1,Hombres,285927,1204730,23.733699670000000000000
Guerrero,2005,1,Hombres,57673,702715,8.2071679130000000000000
Hidalgo,2005,1,Hombres,94696,616306,15.365094610000000000000
Jalisco,2005,1,Hombres,343662,1730805,19.855616320000000000000
M xico,2005,1,Hombres,743104,3582878,20.740421530000000000000
Michoac n,2005,1,Hombres,139848,1005172,13.912842780000000000000
Morelos,2005,1,Hombres,47597,398613,11.940654220000000000000
Nayarit,2005,1,Hombres,17268,260824,6.6205563910000000000000
Nuevo Le n,2005,1,Hombres,308904,1171402,26.370451820000000000000
Oaxaca,2005,1,Hombres,73463,865638,8.4865729090000000000000
Puebla,2005,1,Hombres,230487,1341586,17.180188220000000000000
Quer taro,2005,1,Hombres,89657,389861,22.997170790000000000000
Quintana Roo,2005,1,Hombres,18595,313136,5.9383143430000000000000
San Luis Potos ,2005,1,Hombres,94423,602686,15.667030590000000000000
Sinaloa,2005,1,Hombres,77990,749476,10.405936950000000000000
Sonora,2005,1,Hombres,91143,651067,13.999020070000000000000
Tabasco,2005,1,Hombres,37784,531684,7.1064767790000000000000
Tamaulipas,2005,1,Hombres,144816,790504,18.319451890000000000000
Tlaxcala,2005,1,Hombres,60857,263088,23.131803810000000000000
Veracruz,2005,1,Hombres,186805,1792544,10.421222580000000000000
Yucat n,2005,1,Hombres,79794,487287,16.375154680000000000000
Zacatecas,2005,1,Hombres,31237,326311,9.5727695360000000000000
Nacional,2005,2,Hombres,4299545,26379882,16.298575560000000000000
Aguascalientes,2005,2,Hombres,57749,250123,23.088240590000000000000
Baja California,2005,2,Hombres,155352,759631,20.450982120000000000000
Baja California Sur,2005,2,Hombres,8430,150622,5.5967919690000000000000
Campeche,2005,2,Hombres,17116,211678,8.0858662690000000000000
Coahuila,2005,2,Hombres,177317,642237,27.609278190000000000000
Colima,2005,2,Hombres,16334,157132,10.395081840000000000000
Chiapas,2005,2,Hombres,53275,1149356,4.635204410000000000000
Chihuahua,2005,2,Hombres,184094,844239,21.805910410000000000000
Ciudad de M xico,2005,2,Hombres,335779,2269308,14.796537090000000000000
Durango,2005,2,Hombres,66291,373460,17.750495370000000000000
Guanajuato,2005,2,Hombres,289234,1168007,24.763036520000000000000
Guerrero,2005,2,Hombres,49167,708538,6.9392185030000000000000
Hidalgo,2005,2,Hombres,94694,613678,15.430567820000000000000
Jalisco,2005,2,Hombres,341041,1741816,19.579622650000000000000
M xico,2005,2,Hombres,693433,3503229,19.794109950000000000000
Michoac n,2005,2,Hombres,137251,971632,14.12582130000000000000
Morelos,2005,2,Hombres,43578,403404,10.802570130000000000000
Nayarit,2005,2,Hombres,20394,255059,7.9957970510000000000000
Nuevo Le n,2005,2,Hombres,310295,1180942,26.275210810000000000000
Oaxaca,2005,2,Hombres,72511,868184,8.3520313670000000000000
Puebla,2005,2,Hombres,236459,1307234,18.088498310000000000000
Quer taro,2005,2,Hombres,89439,395897,22.591482130000000000000
Quintana Roo,2005,2,Hombres,19336,320098,6.0406500510000000000000
San Luis Potos ,2005,2,Hombres,104308,594132,17.556367950000000000000
Sinaloa,2005,2,Hombres,75157,722151,10.407380170000000000000
Sonora,2005,2,Hombres,102370,634839,16.125348320000000000000
Tabasco,2005,2,Hombres,39321,536739,7.3259070050000000000000
Tamaulipas,2005,2,Hombres,152786,807392,18.92339780000000000000
Tlaxcala,2005,2,Hombres,62589,266999,23.441660830000000000000
Veracruz,2005,2,Hombres,183207,1745193,10.497807410000000000000
Yucat n,2005,2,Hombres,83288,485632,17.15043490000000000000
Zacatecas,2005,2,Hombres,27950,341301,8.1892523020000000000000
Nacional,2005,3,Hombres,4290567,26777675,16.022925810000000000000
Aguascalientes,2005,3,Hombres,54585,252225,21.641391610000000000000
Baja California,2005,3,Hombres,160036,769610,20.794428350000000000000
Baja California Sur,2005,3,Hombres,9609,153192,6.2725207580000000000000
Campeche,2005,3,Hombres,17815,211438,8.4256377760000000000000
Coahuila,2005,3,Hombres,168626,639837,26.354524670000000000000
Colima,2005,3,Hombres,16236,157257,10.324500660000000000000
Chiapas,2005,3,Hombres,57328,1156983,4.9549561230000000000000
Chihuahua,2005,3,Hombres,184026,858003,21.448176750000000000000
Ciudad de M xico,2005,3,Hombres,320777,2272775,14.113891610000000000000
Durango,2005,3,Hombres,68157,382252,17.830384140000000000000
Guanajuato,2005,3,Hombres,303831,1211601,25.076819840000000000000
Guerrero,2005,3,Hombres,43653,771353,5.6592766220000000000000
Hidalgo,2005,3,Hombres,92533,613751,15.076635310000000000000
Jalisco,2005,3,Hombres,351469,1771504,19.840147130000000000000
M xico,2005,3,Hombres,698696,3551666,19.672345320000000000000
